"order_id","product_id","product_category","supplier","customer_country","employee_city","order_month","shipper_name","unit_price","quantity","discount","total_amount"
10248,11,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","France","London","7","Federal Shipping","14",12,"0","168"
10248,42,"Grains/Cereals","Leka Trading","France","London","7","Federal Shipping","9.8",10,"0","98.00000190734863"
10248,72,"Dairy Products","Formaggi Fortini s.r.l.","France","London","7","Federal Shipping","34.8",5,"0","173.99999618530273"
10249,14,"Produce","Mayumi's","Germany","London","7","Speedy Express","18.6",9,"0","167.40000343322754"
10249,51,"Produce","G'day, Mate","Germany","London","7","Speedy Express","42.4",40,"0","1696.0000610351562"
10250,41,"Seafood","New England Seafood Cannery","Brazil","Redmond","7","United Package","7.7",10,"0","76.99999809265137"
10250,51,"Produce","G'day, Mate","Brazil","Redmond","7","United Package","42.4",35,"0.15","1261.4000365495679"
10250,65,"Condiments","New Orleans Cajun Delights","Brazil","Redmond","7","United Package","16.8",15,"0.15","214.199988770485"
10251,22,"Grains/Cereals","PB Knäckebröd AB","France","Kirkland","7","Speedy Express","16.8",6,"0.05","95.75999557614327"
10251,57,"Grains/Cereals","Pasta Buttini s.r.l.","France","Kirkland","7","Speedy Express","15.6",15,"0.05","222.3000052616"
10251,65,"Condiments","New Orleans Cajun Delights","France","Kirkland","7","Speedy Express","16.8",20,"0","335.99998474121094"
10252,20,"Confections","Specialty Biscuits, Ltd.","Belgium","Redmond","7","United Package","64.8",40,"0.05","2462.4001140356063"
10252,33,"Dairy Products","Norske Meierier","Belgium","Redmond","7","United Package","2",25,"0.05","47.4999999627471"
10252,60,"Dairy Products","Gai pâturage","Belgium","Redmond","7","United Package","27.2",40,"0","1088.0000305175781"
10253,31,"Dairy Products","Formaggi Fortini s.r.l.","Brazil","Kirkland","7","United Package","10",20,"0","200"
10253,39,"Beverages","Aux joyeux ecclésiastiques","Brazil","Kirkland","7","United Package","14.4",42,"0","604.7999839782715"
10253,49,"Confections","Karkki Oy","Brazil","Kirkland","7","United Package","16",40,"0","640"
10254,24,"Beverages","Refrescos Americanas LTDA","Switzerland","London","7","United Package","3.6",15,"0.15","45.89999846220017"
10254,55,"Meat/Poultry","Ma Maison","Switzerland","London","7","United Package","19.2",21,"0.15","342.72001121520987"
