customer_id,order_id,order_date,shipped_date,ship_via,employee_id,product_id,supplier_id,unit_price,quantity,country
VINET,10248,1996-07-04,1996-07-16,3,5,11,5,14.0,12,France
VINET,10248,1996-07-04,1996-07-16,3,5,42,20,9.8,10,France
VINET,10248,1996-07-04,1996-07-16,3,5,72,14,34.8,5,France
TOMSP,10249,1996-07-05,1996-07-10,1,6,14,6,18.6,9,Germany
TOMSP,10249,1996-07-05,1996-07-10,1,6,51,24,42.4,40,Germany
HANAR,10250,1996-07-08,1996-07-12,2,4,41,19,7.7,10,Brazil
HANAR,10250,1996-07-08,1996-07-12,2,4,51,24,42.4,35,Brazil
HANAR,10250,1996-07-08,1996-07-12,2,4,65,2,16.8,15,Brazil
VICTE,10251,1996-07-08,1996-07-15,1,3,22,9,16.8,6,France
VICTE,10251,1996-07-08,1996-07-15,1,3,57,26,15.6,15,France
VICTE,10251,1996-07-08,1996-07-15,1,3,65,2,16.8,20,France
SUPRD,10252,1996-07-09,1996-07-11,2,4,20,8,64.8,40,Belgium
SUPRD,10252,1996-07-09,1996-07-11,2,4,33,15,2.0,25,Belgium
SUPRD,10252,1996-07-09,1996-07-11,2,4,60,28,27.2,40,Belgium
HANAR,10253,1996-07-10,1996-07-16,2,3,31,14,10.0,20,Brazil
HANAR,10253,1996-07-10,1996-07-16,2,3,39,18,14.4,42,Brazil
HANAR,10253,1996-07-10,1996-07-16,2,3,49,23,16.0,40,Brazil
CHOPS,10254,1996-07-11,1996-07-23,2,5,24,10,3.6,15,Switzerland
CHOPS,10254,1996-07-11,1996-07-23,2,5,55,25,19.2,21,Switzerland
CHOPS,10254,1996-07-11,1996-07-23,2,5,74,4,8.0,21,Switzerland
RICSU,10255,1996-07-12,1996-07-15,3,9,2,1,15.2,20,Switzerland
RICSU,10255,1996-07-12,1996-07-15,3,9,16,7,13.9,35,Switzerland
RICSU,10255,1996-07-12,1996-07-15,3,9,36,17,15.2,25,Switzerland
RICSU,10255,1996-07-12,1996-07-15,3,9,59,28,44.0,30,Switzerland
WELLI,10256,1996-07-15,1996-07-17,2,3,53,24,26.2,15,Brazil
WELLI,10256,1996-07-15,1996-07-17,2,3,77,12,10.4,12,Brazil
HILAA,10257,1996-07-16,1996-07-22,3,4,27,11,35.1,25,Venezuela
HILAA,10257,1996-07-16,1996-07-22,3,4,39,18,14.4,6,Venezuela
HILAA,10257,1996-07-16,1996-07-22,3,4,77,12,10.4,15,Venezuela
ERNSH,10258,1996-07-17,1996-07-23,1,1,2,1,15.2,50,Austria
ERNSH,10258,1996-07-17,1996-07-23,1,1,5,2,17.0,65,Austria
ERNSH,10258,1996-07-17,1996-07-23,1,1,32,14,25.6,6,Austria
CENTC,10259,1996-07-18,1996-07-25,3,4,21,8,8.0,10,Mexico
CENTC,10259,1996-07-18,1996-07-25,3,4,37,17,20.8,1,Mexico
OTTIK,10260,1996-07-19,1996-07-29,1,4,41,19,7.7,16,Germany
